구분,고급휘발유,보통휘발유,자동차용경유
20210101,1662.86,1424,1224.64
20210102,1662.62,1425.64,1226.31
20210103,1663.82,1426.62,1227.34
20210104,1665.16,1428.43,1229.22
20210105,1667.24,1430.42,1231.37
20210106,1667.88,1431.84,1232.66
20210107,1669.6,1433.41,1234.06
20210108,1670.89,1434.78,1235.41
20210109,1673.2,1436.05,1236.56
20210110,1673.65,1436.73,1237.18
20210111,1674.31,1437.89,1238.44
20210112,1675.42,1439.25,1239.76
20210113,1676.74,1440.44,1240.99
20210114,1678.88,1441.94,1242.48
20210115,1680.58,1443.47,1244.02
20210116,1681.86,1444.83,1245.32
20210117,1682.43,1445.38,1245.77
20210118,1682.98,1446.25,1246.7
20210119,1684.37,1447.27,1247.7
20210120,1685.51,1448.04,1248.56
20210121,1686.05,1448.83,1249.31
20210122,1687,1449.36,1249.82
20210123,1687.57,1449.76,1250.18
20210124,1687.18,1449.89,1250.18
20210125,1688.03,1450.32,1250.71
20210126,1688.24,1450.49,1250.85
20210127,1687.82,1450.73,1251.11
20210128,1687.9,1450.89,1251.21
20210129,1688.37,1451.3,1251.6
20210130,1689.06,1451.43,1251.79
20210131,1689.05,1451.48,1251.75
20210201,1689.84,1451.94,1252.3
20210202,1689.79,1451.99,1252.38
20210203,1690.01,1452.13,1252.56
20210204,1690.17,1452.42,1252.8
20210205,1690.46,1452.85,1253.2
20210206,1692.68,1453.46,1253.85
20210207,1692.75,1453.65,1253.97
20210208,1693,1454.26,1254.64
20210209,1695.52,1455.63,1255.86
20210210,1698.68,1457.21,1257.42
20210211,1700.77,1458.76,1258.86
20210212,1701.16,1459.28,1259.36
20210213,1701.58,1459.61,1259.73
20210214,1701.98,1459.89,1259.97
20210215,1702.54,1461.06,1261.12
20210216,1705.17,1463.32,1263.37
20210217,1706.92,1464.89,1264.93
20210218,1707.75,1466.59,1266.71
20210219,1709.7,1468.46,1268.47
20210220,1711.07,1469.88,1269.81
20210221,1711.82,1470.6,1270.45
20210222,1712.43,1471.83,1271.86
20210223,1714.02,1473.21,1273.23
20210224,1715.27,1474.79,1274.74
20210225,1716.3,1476.11,1276.05
20210226,1717.18,1477.54,1277.65
20210227,1718.94,1479.1,1279.25
20210228,1719.33,1479.89,1279.83
20210301,1722.61,1481.76,1281.79
20210302,1724.04,1483.1,1283.22
20210303,1725.39,1484.45,1284.59
20210304,1727.38,1485.71,1285.76
20210305,1729.47,1487.79,1287.77
20210306,1731.91,1490.69,1290.65
20210307,1733.24,1492.4,1292.27
20210308,1735.71,1495.18,1295.18
20210309,1739.71,1498.95,1298.9
20210310,1742.21,1501.95,1301.82
20210311,1744.84,1504.22,1304.06
20210312,1746.42,1506.7,1306.43
20210313,1748.32,1509.97,1309.59
20210314,1750.43,1511.68,1311.17
20210315,1752.26,1514.35,1313.91
20210316,1755.45,1517.64,1317.11
20210317,1758.36,1520.36,1319.74
20210318,1759.72,1522.81,1322.18
20210319,1761.79,1524.98,1324.2
20210320,1763.13,1526.53,1325.69
20210321,1764.17,1527.4,1326.49
20210322,1764.7,1528.75,1327.95
20210323,1765.63,1530.34,1329.45
20210324,1766.59,1531.33,1330.32
20210325,1766.73,1531.9,1330.76
20210326,1766.94,1532.48,1331.16
20210327,1767.27,1532.94,1331.33
20210328,1767.65,1533.22,1331.45
20210329,1768.13,1533.5,1331.89
20210330,1768.58,1534.04,1332.27
20210331,1768.81,1534.27,1332.49
